,username,mean,median,variance,number of tweets,Type of Data
0,1MjWilliams2,602.875,388.5,168854.734375,16,Skewed
1,1MollyWilliams,191.0,191.0,0.0,1,Symmetric
2,1jamiebell,500.6666666666667,505.5,87363.05555555556,12,Symmetric
3,1jordanbell,773.375,405.0,527171.734375,16,Skewed
4,36SLY36,288.0,288.0,0.0,1,Symmetric
5,3LWTV,206.45454545454547,189.0,5052.97520661157,11,Symmetric
6,55buckets,143.0,143.0,0.0,1,Symmetric
7,619PRESIDENTIAL,871.4285714285714,856.0,157795.387755102,7,Symmetric
8,AAAClubAlliance,0.0,0.0,0.0,1854,Symmetric
9,AAAOklahoma,0.0,0.0,0.0,2186,Symmetric
10,AAASouthJersey,0.0,0.0,0.0,944,Symmetric
11,AAASouthPenn,0.0,0.0,0.0,1077,Symmetric
12,AAA_MWG,0.0,0.0,0.0,62,Symmetric
13,AAA_Travel,0.0,0.0,0.0,237,Symmetric
14,AAAhoosier,0.0,0.0,0.0,694,Symmetric
15,AAAnews,82.0,82.0,0.0,1,Symmetric
16,AAQuimsa,24.428571428571427,3.0,723.3877551020407,7,Symmetric
17,AARP,60.698113207547166,59.0,257.11641153435386,53,Skewed
18,AARPBlackCom,63.4375,51.5,642.12109375,32,Skewed
19,AARPCA,99.2,55.0,3582.96,5,Skewed
20,AARPFL,96.1,81.5,2079.1566666666668,30,Skewed
21,AARPFoundation,130.1,104.0,6885.556666666666,30,Skewed
22,AARPIntl,412.1515151515151,201.0,185618.73461891647,33,Skewed
23,AARPMA,83.8,58.0,1268.16,5,Skewed
24,AARPMedia,49.0,49.0,0.0,1,Symmetric
25,AARPOhio,69.0,69.0,0.0,1,Symmetric
26,AARPTX,51.0,51.0,0.0,1,Symmetric
27,AARPadvocates,81.36206896551724,58.0,2383.1275267538645,116,Skewed
28,AARPpolicy,64.08333333333333,56.0,433.5763888888889,12,Skewed
29,AARPresearch,122.71428571428571,108.0,3378.2040816326526,7,Symmetric
30,AASouthAfrica,1.1208053691275168,1.0,0.9786946533939912,447,Symmetric
31,ABAesq,133.72413793103448,113.0,3272.1307966706304,29,Skewed
32,ADWilliamsUVA,225.20792079207922,191.0,12014.639937261056,101,Skewed
33,AFRO_THUNDER80,280.9791666666667,193.5,36184.020399305555,48,Skewed
34,AIRTEL_KE,325.3738738738739,263.0,43250.11697508319,222,Skewed
35,AJ_DonWilliams,182.66666666666666,186.5,2393.888888888889,6,Symmetric
36,ALKCM,241.5,221.0,7188.8125,32,Skewed
37,AMCArtisanFilms,11.76936936936937,8.0,111.89275545816085,555,Skewed
38,AMCHelps,0.8181818181818182,1.0,0.6942148760330578,11,Skewed
39,AMCTheatres,29.886912065439674,27.0,251.40868351169487,4890,Skewed
